epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3538.12,0.88872,0.67891,0.92207,0.94668,0.92369,0.96601,0.74863,0.84414,0.60489,0.89883,0.00122463,0.00122463,0.00122463
43,3620.77,0.89956,0.67068,0.92963,0.95158,0.96687,0.98593,0.75456,0.8014,0.60268,0.89184,0.00122401,0.00122401,0.00122401
44,3703.4,0.85785,0.68158,0.92222,0.93932,0.94685,0.97885,0.73957,0.82742,0.61797,0.91578,0.00122339,0.00122339,0.00122339
45,3786.09,0.86178,0.66907,0.92085,0.96353,0.93639,0.98481,0.76754,0.78292,0.57503,0.87169,0.00122277,0.00122277,0.00122277
46,3868.67,0.85031,0.66229,0.92411,0.96583,0.96899,0.98547,0.75586,0.84572,0.60968,0.89846,0.00122216,0.00122216,0.00122216
47,3951.31,0.87974,0.65202,0.9135,0.94843,0.92603,0.98048,0.75279,0.81017,0.61815,0.88676,0.00122154,0.00122154,0.00122154
48,4033.81,0.84275,0.66713,0.91847,0.94305,0.96227,0.97555,0.75342,0.8281,0.6168,0.88813,0.00122092,0.00122092,0.00122092
49,4116.15,0.86726,0.67305,0.92224,0.94826,0.95574,0.97949,0.7582,0.82367,0.56081,0.87887,0.0012203,0.0012203,0.0012203
50,4198.39,0.86522,0.66834,0.9327,0.96779,0.95036,0.98609,0.74955,0.80371,0.56548,0.88525,0.00121968,0.00121968,0.00121968
51,4289.93,0.86181,0.63013,0.91303,0.94089,0.96199,0.98041,0.75341,0.80046,0.57639,0.8748,0.00121906,0.00121906,0.00121906
52,4383.1,0.87093,0.66085,0.93816,0.95369,0.9232,0.98152,0.76919,0.7718,0.56708,0.87414,0.00121844,0.00121844,0.00121844
53,4476.25,0.83153,0.65642,0.91755,0.93461,0.96258,0.98363,0.77378,0.76451,0.53059,0.86615,0.00121783,0.00121783,0.00121783
54,4557.75,0.83618,0.64901,0.90598,0.95682,0.95013,0.97802,0.77174,0.77941,0.5473,0.86883,0.00121721,0.00121721,0.00121721
55,4638.06,0.80773,0.60314,0.90349,0.97049,0.94223,0.98623,0.77147,0.78414,0.55464,0.88432,0.00121659,0.00121659,0.00121659
56,4718.6,0.84695,0.64874,0.92232,0.93701,0.95991,0.98401,0.76062,0.7925,0.55048,0.9035,0.00121597,0.00121597,0.00121597
57,4799.54,0.82613,0.6139,0.90713,0.95399,0.9546,0.98102,0.75558,0.79544,0.57175,0.88858,0.00121535,0.00121535,0.00121535
58,4880.21,0.83424,0.62572,0.91038,0.95979,0.9486,0.9808,0.75034,0.78717,0.55157,0.87469,0.00121473,0.00121473,0.00121473
59,4960.92,0.81886,0.60676,0.90624,0.95368,0.97986,0.98331,0.76501,0.77142,0.55202,0.87914,0.00121411,0.00121411,0.00121411
60,5041.64,0.83826,0.61572,0.9104,0.9838,0.95409,0.97808,0.75872,0.77333,0.51749,0.86583,0.00121349,0.00121349,0.00121349
61,5122.6,0.8049,0.59262,0.89719,0.94913,0.94145,0.98446,0.75243,0.77762,0.50651,0.86036,0.00121287,0.00121287,0.00121287
62,5203.38,0.80974,0.58907,0.89838,0.90352,0.91535,0.96747,0.75813,0.76621,0.54356,0.8668,0.00121226,0.00121226,0.00121226
63,5284.07,0.8075,0.58915,0.90545,0.93283,0.91338,0.97553,0.7487,0.79419,0.54619,0.8734,0.00121164,0.00121164,0.00121164
64,5364.84,0.80702,0.61407,0.90759,0.92711,0.95807,0.98119,0.77571,0.77351,0.51893,0.86972,0.00121102,0.00121102,0.00121102
65,5445.93,0.86094,0.62029,0.92759,0.95835,0.94606,0.98042,0.78647,0.75749,0.52692,0.86205,0.0012104,0.0012104,0.0012104
66,5529.36,0.8181,0.59028,0.89601,0.97446,0.94804,0.98471,0.78256,0.75587,0.50719,0.8641,0.00120978,0.00120978,0.00120978
67,5612.62,0.80703,0.58902,0.90339,0.96992,0.91057,0.96874,0.75603,0.77448,0.56239,0.87294,0.00120916,0.00120916,0.00120916
68,5706.74,0.80995,0.60293,0.91479,0.92503,0.9298,0.97896,0.75194,0.78985,0.59389,0.87413,0.00120854,0.00120854,0.00120854
69,5800.03,0.81485,0.58414,0.90351,0.97739,0.9486,0.98408,0.76692,0.78273,0.5176,0.87248,0.00120793,0.00120793,0.00120793
