epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27792.2,0.93212,0.43597,0.8469,0.95108,0.93654,0.96441,0.69578,0.9251,0.425,0.88817,0.0011882,0.0011882,0.0011882
43,28451,0.94631,0.44019,0.84602,0.95655,0.93946,0.9671,0.69448,0.95752,0.42676,0.89318,0.0011684,0.0011684,0.0011684
44,29108.2,0.92792,0.43448,0.84397,0.95986,0.9442,0.97276,0.69209,0.96183,0.42779,0.88862,0.0011486,0.0011486,0.0011486
45,29770.4,0.93045,0.43756,0.84935,0.96058,0.93873,0.97232,0.69765,0.95047,0.42833,0.88821,0.0011288,0.0011288,0.0011288
46,30427.9,0.92073,0.42906,0.85021,0.95994,0.94386,0.97166,0.69798,0.95122,0.42786,0.89039,0.001109,0.001109,0.001109
47,31088,0.91421,0.42902,0.84984,0.95727,0.93545,0.97063,0.69811,0.95149,0.43028,0.89088,0.0010892,0.0010892,0.0010892
48,31743.2,0.93062,0.43079,0.84725,0.95342,0.92451,0.96381,0.68851,0.97407,0.41994,0.89398,0.0010694,0.0010694,0.0010694
49,32399.6,0.90722,0.41849,0.84543,0.95935,0.94092,0.97398,0.70477,0.91861,0.40819,0.88431,0.0010496,0.0010496,0.0010496
50,33054.5,0.92467,0.42653,0.84373,0.95736,0.9442,0.97453,0.7078,0.92869,0.40911,0.88723,0.0010298,0.0010298,0.0010298
51,33707.6,0.8936,0.41301,0.84366,0.95472,0.94092,0.96801,0.69745,0.95229,0.41461,0.89103,0.00101,0.00101,0.00101
52,34362.4,0.91045,0.42203,0.85159,0.95186,0.94748,0.97312,0.70746,0.93956,0.41574,0.88425,0.0009902,0.0009902,0.0009902
53,35018.7,0.90289,0.41701,0.84646,0.95907,0.92451,0.96524,0.70217,0.95441,0.41,0.89134,0.0009704,0.0009704,0.0009704
54,35677.6,0.90105,0.41396,0.84159,0.95833,0.9453,0.96995,0.70469,0.94823,0.41659,0.88919,0.0009506,0.0009506,0.0009506
55,36338.4,0.88084,0.40012,0.84768,0.9669,0.92013,0.96266,0.69037,0.95917,0.41095,0.89169,0.0009308,0.0009308,0.0009308
56,37000.2,0.87418,0.39846,0.84537,0.95268,0.94706,0.97124,0.69746,0.93541,0.41273,0.88707,0.000911,0.000911,0.000911
57,37656.5,0.89507,0.40879,0.84629,0.95858,0.9368,0.96928,0.69499,0.9398,0.40683,0.88681,0.0008912,0.0008912,0.0008912
58,38311.6,0.88045,0.40524,0.84342,0.9632,0.94509,0.9782,0.71,0.94517,0.40215,0.89111,0.0008714,0.0008714,0.0008714
59,38970.4,0.89594,0.41209,0.84827,0.95328,0.93766,0.97268,0.71166,0.91688,0.40757,0.88474,0.0008516,0.0008516,0.0008516
60,39626.8,0.87898,0.40968,0.84598,0.95465,0.9453,0.97023,0.70768,0.92314,0.40712,0.88305,0.0008318,0.0008318,0.0008318
61,40282.8,0.888,0.41247,0.84703,0.95584,0.94716,0.97388,0.69998,0.95546,0.41253,0.88887,0.000812,0.000812,0.000812
62,40941.8,0.90484,0.42118,0.83692,0.94195,0.94092,0.96518,0.69728,0.94128,0.41691,0.88834,0.0007922,0.0007922,0.0007922
63,41601.7,0.86304,0.39469,0.83535,0.95735,0.93318,0.96706,0.70256,0.95797,0.41132,0.89078,0.0007724,0.0007724,0.0007724
64,42264,0.87835,0.3984,0.83755,0.95967,0.93713,0.96965,0.70822,0.91771,0.39705,0.88655,0.0007526,0.0007526,0.0007526
65,42918.7,0.87633,0.40205,0.84073,0.96173,0.93217,0.97001,0.71172,0.92725,0.39854,0.88432,0.0007328,0.0007328,0.0007328
66,43576,0.86089,0.39578,0.83677,0.95803,0.93545,0.9668,0.70148,0.92752,0.40098,0.88794,0.000713,0.000713,0.000713
67,44231.7,0.86593,0.39595,0.83651,0.95987,0.94211,0.9734,0.70461,0.92896,0.3976,0.8808,0.0006932,0.0006932,0.0006932
68,44887.8,0.87368,0.39745,0.83928,0.95872,0.94311,0.96799,0.70696,0.91752,0.39168,0.88135,0.0006734,0.0006734,0.0006734
69,45542.9,0.83668,0.38385,0.83804,0.95742,0.94967,0.97136,0.69686,0.95557,0.40819,0.88929,0.0006536,0.0006536,0.0006536
70,46199.3,0.85288,0.39745,0.83341,0.95095,0.93337,0.96473,0.69513,0.93721,0.39989,0.88648,0.0006338,0.0006338,0.0006338
71,46857,0.86853,0.39304,0.83197,0.96442,0.93217,0.97166,0.70044,0.93963,0.39888,0.88782,0.000614,0.000614,0.000614
72,47515,0.84929,0.39104,0.84154,0.95726,0.93764,0.96647,0.70144,0.92825,0.39461,0.88489,0.0005942,0.0005942,0.0005942
73,48170.2,0.86251,0.38753,0.84016,0.9539,0.9442,0.97031,0.70924,0.9156,0.39121,0.88079,0.0005744,0.0005744,0.0005744
74,48827.6,0.84684,0.38617,0.83257,0.9608,0.9442,0.97461,0.71521,0.91925,0.38741,0.88097,0.0005546,0.0005546,0.0005546
75,49484.3,0.8293,0.37794,0.83233,0.95686,0.9442,0.97084,0.70482,0.92615,0.39799,0.88216,0.0005348,0.0005348,0.0005348
76,50144.1,0.83277,0.38285,0.8335,0.96127,0.95042,0.97337,0.7081,0.92473,0.40126,0.88406,0.000515,0.000515,0.000515
77,50800.4,0.84155,0.38126,0.83403,0.95379,0.93873,0.96819,0.70303,0.93661,0.39467,0.88861,0.0004952,0.0004952,0.0004952
78,51457.8,0.84002,0.37772,0.83092,0.95886,0.94201,0.97016,0.71346,0.91784,0.39322,0.88362,0.0004754,0.0004754,0.0004754
79,52113.3,0.83909,0.38196,0.8353,0.95992,0.94342,0.9713,0.70651,0.93697,0.39337,0.88386,0.0004556,0.0004556,0.0004556
80,52768.7,0.83483,0.37629,0.83172,0.95725,0.94311,0.97275,0.69895,0.93396,0.39726,0.88744,0.0004358,0.0004358,0.0004358
81,53424.3,0.82421,0.37339,0.83462,0.96268,0.93126,0.96694,0.70439,0.9244,0.39352,0.88287,0.000416,0.000416,0.000416
82,54080.8,0.81789,0.37018,0.83189,0.96831,0.93603,0.96818,0.70696,0.93111,0.39252,0.88394,0.0003962,0.0003962,0.0003962
83,54735.7,0.83006,0.37085,0.8338,0.9584,0.94967,0.97447,0.7111,0.93076,0.38836,0.88454,0.0003764,0.0003764,0.0003764
84,55391.1,0.81901,0.37144,0.831,0.96223,0.94768,0.97441,0.71144,0.915,0.38552,0.88277,0.0003566,0.0003566,0.0003566
85,56044.6,0.82987,0.36849,0.82544,0.95907,0.9453,0.97048,0.70683,0.92652,0.38703,0.88588,0.0003368,0.0003368,0.0003368
86,56699.4,0.81078,0.36737,0.82613,0.96442,0.94201,0.97061,0.70906,0.92959,0.38341,0.88737,0.000317,0.000317,0.000317
87,57354,0.80267,0.35705,0.82777,0.96623,0.93911,0.97244,0.71175,0.93458,0.38167,0.88754,0.0002972,0.0002972,0.0002972
88,58014.2,0.80817,0.36304,0.82649,0.9661,0.93543,0.96906,0.711,0.92485,0.38425,0.88386,0.0002774,0.0002774,0.0002774
89,58670.6,0.78296,0.34786,0.82129,0.96073,0.9442,0.97227,0.71034,0.91246,0.38167,0.88393,0.0002576,0.0002576,0.0002576
90,59330.9,0.80669,0.35514,0.83115,0.96046,0.93873,0.96954,0.70804,0.92202,0.38265,0.88852,0.0002378,0.0002378,0.0002378
91,59978.8,0.80171,0.3515,0.83109,0.96507,0.93708,0.96841,0.70498,0.92457,0.38632,0.88716,0.000218,0.000218,0.000218
92,60618,0.80417,0.35286,0.8275,0.96439,0.93982,0.96668,0.70049,0.92866,0.38668,0.88921,0.0001982,0.0001982,0.0001982
93,61258.4,0.79385,0.34191,0.83035,0.96538,0.94564,0.97373,0.71041,0.91864,0.37898,0.8871,0.0001784,0.0001784,0.0001784
94,61900.6,0.79714,0.34357,0.83717,0.96207,0.94347,0.97223,0.70695,0.93105,0.38468,0.88869,0.0001586,0.0001586,0.0001586
95,62541.3,0.7868,0.34159,0.82476,0.96523,0.94154,0.97144,0.70641,0.93293,0.38453,0.88823,0.0001388,0.0001388,0.0001388
96,63181.9,0.78787,0.34131,0.83323,0.96411,0.94201,0.97338,0.70987,0.92946,0.38179,0.88585,0.000119,0.000119,0.000119
97,63828.6,0.78195,0.33798,0.8274,0.9574,0.9343,0.96705,0.70629,0.93064,0.38318,0.88673,9.92e-05,9.92e-05,9.92e-05
98,64485.9,0.76531,0.33156,0.82011,0.96521,0.93654,0.96869,0.7059,0.92702,0.37903,0.88622,7.94e-05,7.94e-05,7.94e-05
99,65141.5,0.76413,0.33404,0.81912,0.96395,0.93628,0.96815,0.70644,0.93117,0.37865,0.88836,5.96e-05,5.96e-05,5.96e-05
100,65812.8,0.76133,0.33101,0.82211,0.9598,0.94046,0.96876,0.7092,0.93001,0.37652,0.88773,3.98e-05,3.98e-05,3.98e-05
