epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,69.4523,0.82333,0.69163,0.89769,0.95186,0.93947,0.97596,0.73195,0.82096,0.58104,0.87255,0.00114853,0.00114853,0.00114853
43,71.0964,0.82076,0.6642,0.90404,0.94414,0.92749,0.96563,0.75282,0.80721,0.54259,0.86775,0.00114605,0.00114605,0.00114605
44,72.7259,0.84004,0.67252,0.913,0.92449,0.92797,0.97209,0.74181,0.83197,0.58426,0.87409,0.00114357,0.00114357,0.00114357
45,74.304,0.85112,0.67429,0.909,0.99384,0.91115,0.97676,0.73757,0.83105,0.56547,0.87765,0.0011411,0.0011411,0.0011411
46,75.9031,0.83068,0.6599,0.90724,0.9058,0.95589,0.96298,0.72653,0.79943,0.55875,0.86771,0.00113863,0.00113863,0.00113863
47,77.5061,0.81685,0.64701,0.89925,0.98234,0.93814,0.98113,0.74982,0.80496,0.52436,0.87531,0.00113615,0.00113615,0.00113615
48,79.1109,0.8242,0.63223,0.89806,0.97906,0.96169,0.98307,0.75963,0.78484,0.5225,0.86165,0.00113368,0.00113368,0.00113368
49,80.6993,0.85206,0.66828,0.92392,0.98952,0.96481,0.98291,0.74286,0.7848,0.5148,0.85741,0.0011312,0.0011312,0.0011312
50,82.2808,0.8365,0.63157,0.91022,0.9523,0.95952,0.97837,0.76041,0.76715,0.51689,0.85588,0.00112873,0.00112873,0.00112873
51,83.8716,0.82859,0.64316,0.91499,0.96684,0.96064,0.97721,0.76235,0.7814,0.51227,0.85658,0.00112625,0.00112625,0.00112625
52,85.4606,0.82824,0.61231,0.88755,0.98172,0.95545,0.9804,0.76019,0.78722,0.51202,0.85978,0.00112378,0.00112378,0.00112378
53,87.0235,0.82183,0.62173,0.8863,0.97275,0.93555,0.97687,0.77053,0.79276,0.53219,0.86552,0.0011213,0.0011213,0.0011213
54,88.732,0.79425,0.61983,0.89997,0.96243,0.96649,0.97941,0.76524,0.76898,0.51438,0.86098,0.00111882,0.00111882,0.00111882
55,90.3546,0.80227,0.62125,0.91136,0.96978,0.95098,0.97407,0.78866,0.77389,0.50728,0.8648,0.00111635,0.00111635,0.00111635
56,92.0073,0.79778,0.60493,0.894,0.95511,0.93469,0.97263,0.75691,0.79535,0.52612,0.87348,0.00111388,0.00111388,0.00111388
57,93.6159,0.77961,0.6074,0.90046,0.97058,0.93668,0.96799,0.74048,0.78743,0.53423,0.87852,0.0011114,0.0011114,0.0011114
58,95.2214,0.76891,0.57686,0.89298,0.98639,0.95914,0.97849,0.77904,0.76953,0.48332,0.85856,0.00110892,0.00110892,0.00110892
59,96.878,0.77126,0.56977,0.88571,0.96135,0.95977,0.98295,0.77546,0.763,0.49321,0.84756,0.00110645,0.00110645,0.00110645
60,98.4992,0.80911,0.61398,0.89669,0.9315,0.96423,0.98542,0.76945,0.75799,0.52446,0.84936,0.00110397,0.00110397,0.00110397
61,100.092,0.76674,0.60923,0.88836,0.98656,0.94395,0.98473,0.78416,0.7604,0.49962,0.85463,0.0011015,0.0011015,0.0011015
62,101.69,0.78086,0.5853,0.89893,0.92912,0.95958,0.98365,0.75087,0.79787,0.52157,0.85745,0.00109903,0.00109903,0.00109903
63,103.291,0.77917,0.59328,0.88843,0.9415,0.94697,0.97978,0.76998,0.77989,0.52872,0.85112,0.00109655,0.00109655,0.00109655
64,104.912,0.78544,0.60203,0.88949,0.92817,0.9568,0.97985,0.76481,0.79246,0.52032,0.84982,0.00109408,0.00109408,0.00109408
65,106.528,0.76795,0.59077,0.90545,0.92191,0.95992,0.975,0.7358,0.81823,0.54177,0.85506,0.0010916,0.0010916,0.0010916
