epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.601,1.31526,1.94647,0.91593,0.01387,0.90153,0.31666,0.23506,1.13604,2.83038,0.89076,0.000653333,0.000653333,0.000653333
2,527.865,1.17992,1.04565,0.88858,0.94902,0.79428,0.91706,0.58069,1.09466,1.46602,0.89597,0.0008844,0.0008844,0.0008844
3,793.77,1.12525,0.96135,0.87783,0.93663,0.90555,0.93854,0.61984,1.03624,0.8584,0.89342,0.000675467,0.000675467,0.000675467
